section_order,section,experiment_label,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_s
1,UCD Connect,Best model,0.8029999999999999,0.8616666666666667,0.8368333333333333,0.698,0.8336666666666667,1.6826666666666668
1,UCD Connect,First model,0.6035,0.7226666666666667,0.7338333333333334,0.40850000000000003,0.7425,1.8705
2,Fees,Best model,0.8081428571428572,0.8324761904761905,0.8498571428571429,0.7120952380952381,0.8085714285714286,1.699
2,Fees,First model,0.5964761904761905,0.7277142857142858,0.7223809523809523,0.4590952380952381,0.7364761904761904,1.8867619047619049
3,Official Documents,Best model,0.8253571428571428,0.8472142857142858,0.8451428571428572,0.7287857142857143,0.8187857142857143,1.6968571428571428
3,Official Documents,First model,0.6184285714285714,0.7212857142857143,0.7054285714285714,0.4788571428571428,0.7169285714285715,1.9315714285714287
4,Form Stamping,Best model,0.7825,0.7695000000000001,0.8175,0.6795,0.7865,1.7309999999999999
4,Form Stamping,First model,0.5675,0.6859999999999999,0.749,0.49350000000000005,0.6895,1.9020000000000001
5,Registration,Best model,0.8009999999999999,0.8366999999999999,0.8654,0.7148,0.8299,1.7838999999999998
5,Registration,First model,0.6186,0.7197,0.7361,0.44830000000000003,0.7376,1.8817
6,Exams,Best model,0.8255,0.824625,0.834375,0.746125,0.79275,1.6243750000000001
6,Exams,First model,0.601,0.7225,0.7326250000000001,0.47375,0.731625,1.888
7,Graduate Research Theses,Best model,0.817375,0.857,0.8150000000000001,0.7275,0.804,1.563625
7,Graduate Research Theses,First model,0.578875,0.718125,0.722,0.47175,0.727125,1.8785
8,Accommodation,Best model,0.827,0.867,0.916,0.696,0.834,1.627
8,Accommodation,First model,0.601,0.767,0.735,0.555,0.756,2.367
9,Lost Property,Best model,0.867,0.793,0.811,0.744,0.788,1.933
9,Lost Property,First model,0.624,0.703,0.74,0.506,0.657,1.933
10,Information for International Students,Best model,0.8151999999999999,0.8188000000000001,0.8608,0.7204,0.8046,1.8579999999999999
10,Information for International Students,First model,0.6006,0.7182000000000001,0.74,0.461,0.7382,1.969
11,Garda Vetting,Best model,0.802,0.877,0.842,0.68,0.815,1.399
11,Garda Vetting,First model,0.607,0.698,0.712,0.432,0.706,1.708
12,Conferring,Best model,0.872,0.788,0.8135,0.6875,0.7575000000000001,1.6524999999999999
12,Conferring,First model,0.6040000000000001,0.789,0.724,0.4675,0.764,1.8659999999999999
13,Staff Query,Best model,0.782,0.913,0.834,0.783,0.714,1.894
13,Staff Query,First model,0.597,0.751,0.785,0.525,0.753,1.895
