experiment_name,question,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_ms,llm_model,embedding_model,retriever_k
voyageai_512_64_basic_dense_False,"How do I log in to UCD IT Systems including SISWeb, Brightspace or UCD Email?",0.697,0.711,0.649,0.604,0.544,1861,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,What is SISWeb? What is Brightspace?,0.766,0.705,0.712,0.632,0.624,1933,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How do I reset my password?,0.627,0.731,0.685,0.645,0.499,1586,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How do I contact IT Support Hub?,0.666,0.652,0.675,0.618,0.631,1784,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Will I lose access to SISWeb when I graduate or if I leave UCD?,0.725,0.704,0.627,0.706,0.633,2115,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Will I lose access to my UCD email address if I graduate or if I leave UCD?,0.679,0.636,0.643,0.615,0.638,1944,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,What do I need to know about my SUSI Grant?,0.688,0.623,0.634,0.681,0.552,1944,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Who is eligible for Free Fees?,0.731,0.591,0.662,0.685,0.479,1842,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Do I need to submit a new application for Free Fee Assessment each year?,0.705,0.631,0.685,0.617,0.512,2049,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Who is eligible for EU Fees?,0.743,0.737,0.732,0.638,0.607,1666,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Are UK applicants still eligible for EU Fees?,0.741,0.643,0.637,0.557,0.542,1804,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,I think I should be on the EU Fees rate - what should I do?,0.774,0.558,0.587,0.632,0.687,2004,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How do I pay my fees?,0.615,0.529,0.678,0.583,0.533,2075,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Can I make a payment over the phone?,0.765,0.689,0.672,0.642,0.696,2011,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How do I get a receipt for payments made?,0.736,0.713,0.582,0.684,0.657,1995,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,Can UCD send an invoice to my employers?,0.611,0.642,0.702,0.529,0.589,2083,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How do I request a Canadian Tax Form?,0.644,0.777,0.688,0.612,0.619,2016,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How do I request a Refund?,0.716,0.749,0.627,0.599,0.663,1904,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How much does it cost to resit/repeat a module?,0.666,0.737,0.733,0.598,0.517,1875,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,How much does it cost to Substitute a Module?,0.703,0.662,0.73,0.569,0.676,1671,llama3.2:3b,nomic-embed-text,4
voyageai_512_64_basic_dense_False,What are the fee implications if I withdraw from my programme?,0.671,0.718,0.716,0.663,0.621,1925,llama3.2:3b,nomic-embed-text,4
