experiment_name,question,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_ms,llm_model,embedding_model,retriever_k
improved_chunks,"How do I log in to UCD IT Systems including SISWeb, Brightspace or UCD Email?",0.81,0.771,0.767,0.702,0.772,2263,llama3.2:3b,mxbai-embed-large,6
improved_chunks,What is SISWeb? What is Brightspace?,0.816,0.75,0.761,0.604,0.671,2206,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I reset my password?,0.745,0.802,0.777,0.671,0.715,2143,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I contact IT Support Hub?,0.843,0.827,0.768,0.697,0.721,2188,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Will I lose access to SISWeb when I graduate or if I leave UCD?,0.857,0.808,0.734,0.672,0.708,2066,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Will I lose access to my UCD email address if I graduate or if I leave UCD?,0.764,0.783,0.745,0.745,0.761,2125,llama3.2:3b,mxbai-embed-large,6
improved_chunks,What do I need to know about my SUSI Grant?,0.936,0.771,0.825,0.746,0.797,1772,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Who is eligible for Free Fees?,0.782,0.805,0.8,0.857,0.749,2430,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Do I need to submit a new application for Free Fee Assessment each year?,0.858,0.847,0.796,0.732,0.761,2005,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Who is eligible for EU Fees?,0.879,0.729,0.782,0.846,0.717,2203,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Are UK applicants still eligible for EU Fees?,0.878,0.792,0.73,0.753,0.765,2327,llama3.2:3b,mxbai-embed-large,6
improved_chunks,I think I should be on the EU Fees rate - what should I do?,0.781,0.895,0.853,0.741,0.746,2122,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I pay my fees?,0.891,0.748,0.804,0.716,0.688,2329,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Can I make a payment over the phone?,0.887,0.789,0.736,0.781,0.727,2255,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I get a receipt for payments made?,0.896,0.858,0.744,0.854,0.73,2341,llama3.2:3b,mxbai-embed-large,6
improved_chunks,Can UCD send an invoice to my employers?,0.788,0.787,0.683,0.829,0.812,1981,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I request a Canadian Tax Form?,0.745,0.693,0.829,0.717,0.726,2143,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I request a Refund?,0.814,0.725,0.771,0.668,0.726,2255,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How much does it cost to resit/repeat a module?,0.843,0.776,0.725,0.748,0.701,2481,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How much does it cost to Substitute a Module?,0.858,0.783,0.746,0.705,0.674,2136,llama3.2:3b,mxbai-embed-large,6
improved_chunks,What are the fee implications if I withdraw from my programme?,0.835,0.821,0.798,0.845,0.688,2202,llama3.2:3b,mxbai-embed-large,6
improved_chunks,When are my fees due?,0.96,0.678,0.744,0.748,0.739,2273,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I process my American/Canadian Loan cheque?,0.808,0.812,0.773,0.779,0.616,2040,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I open a student Bank Account?,0.82,0.728,0.718,0.771,0.691,2314,llama3.2:3b,mxbai-embed-large,6
improved_chunks,I need to provide term dates from previous academic years for SUSI. Where can I find these?,0.857,0.808,0.795,0.735,0.645,2194,llama3.2:3b,mxbai-embed-large,6
improved_chunks,How do I submit my Financial Guarantee/Sponsorship letter?,0.843,0.758,0.765,0.777,0.677,2315,llama3.2:3b,mxbai-embed-large,6
