experiment_name,question,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_ms,llm_model,embedding_model,retriever_k
voyageai_512_64_contextual_hybrid_True,"How do I log in to UCD IT Systems including SISWeb, Brightspace or UCD Email?",0.922,0.85,0.811,0.766,0.776,1623,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What is SISWeb? What is Brightspace?,0.809,0.786,0.78,0.749,0.69,1814,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I reset my password?,0.795,0.87,0.759,0.798,0.842,1736,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I contact IT Support Hub?,0.823,0.833,0.817,0.693,0.724,1729,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Will I lose access to SISWeb when I graduate or if I leave UCD?,0.837,0.835,0.847,0.818,0.814,1805,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Will I lose access to my UCD email address if I graduate or if I leave UCD?,0.846,0.829,0.796,0.764,0.749,1389,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What do I need to know about my SUSI Grant?,0.843,0.829,0.761,0.779,0.791,1670,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Who is eligible for Free Fees?,0.964,0.674,0.8,0.689,0.819,2177,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Do I need to submit a new application for Free Fee Assessment each year?,0.735,0.838,0.836,0.765,0.793,1296,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Who is eligible for EU Fees?,0.903,0.852,0.811,0.751,0.798,1612,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Are UK applicants still eligible for EU Fees?,0.871,0.799,0.698,0.778,0.772,1835,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,I think I should be on the EU Fees rate - what should I do?,0.816,0.828,0.841,0.787,0.835,2058,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I pay my fees?,0.815,0.715,0.853,0.856,0.815,1846,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can I make a payment over the phone?,0.829,0.787,0.854,0.734,0.651,1520,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I get a receipt for payments made?,0.985,0.945,0.776,0.744,0.774,1565,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can UCD send an invoice to my employers?,0.926,0.825,0.756,0.845,0.725,1739,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I request a Canadian Tax Form?,0.859,0.811,0.826,0.745,0.649,1302,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I request a Refund?,0.797,0.784,0.809,0.783,0.793,1721,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How much does it cost to resit/repeat a module?,0.82,0.787,0.704,0.772,0.789,1795,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How much does it cost to Substitute a Module?,0.854,0.82,0.857,0.781,0.804,1804,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What are the fee implications if I withdraw from my programme?,0.871,0.908,0.781,0.762,0.712,1556,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,When are my fees due?,0.938,0.936,0.811,0.808,0.831,1845,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I process my American/Canadian Loan cheque?,0.92,0.754,0.778,0.803,0.846,1718,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I open a student Bank Account?,0.817,0.809,0.777,0.737,0.85,1587,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,I need to provide term dates from previous academic years for SUSI. Where can I find these?,0.861,0.96,0.869,0.797,0.723,1773,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I submit my Financial Guarantee/Sponsorship letter?,0.941,0.867,0.873,0.785,0.791,1663,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I pay a disciplinary related fine?,0.881,0.908,0.738,0.777,0.774,1597,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I access my online Electronic Documents?,0.845,0.877,0.91,0.811,0.78,1420,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Are my Electronic Documents available to me throughout the year?,0.956,0.835,0.808,0.724,0.757,1502,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Can UCD email/scan my official documents to me and/or a third party?,0.864,0.858,0.812,0.794,0.709,1957,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How can a Third Party verify my Electronic Documents?,0.827,0.721,0.801,0.742,0.699,1636,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I order a Hard Copy of my official documents?,0.875,0.759,0.803,0.851,0.801,1672,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How much do Hard Copies cost?,0.866,0.823,0.808,0.817,0.754,1267,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Where can I get a Certificate of Attendance?,0.859,0.777,0.843,0.749,0.769,2091,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,What is the difference between a Statement of Results and a Transcript?,0.808,0.763,0.739,0.66,0.647,1765,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Why do my results say pending?,0.828,0.718,0.736,0.811,0.713,1633,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,How do I send my UCD documents to WES?,0.877,0.911,0.907,0.832,0.769,1733,phi3:mini,mxbai-embed-large,6
voyageai_512_64_contextual_hybrid_True,Applying to the Teaching Council?,0.95,0.916,0.794,0.803,0.777,1709,phi3:mini,mxbai-embed-large,6
